[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140690022380352 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260911_d20260912_a3b77e92	Params = {'fingerprint': '578d7016', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260912@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': '578d7016'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260911_d20260912/2026.09.09
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140678381901504 fray.current_client current_client: using Iris backend (auto-detected)
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140678348330688 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678348330688)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260910_d20260914_40dd2202
[22:55:06] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140678330496704 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678330496704)] Status checkpoints/starcoder_tpp10/tpp10_unmatched_p100_s20260911_ee6712de: None
[22:55:06] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140678330496704 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678330496704)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_unmatched_p100_s20260911_ee6712de
[22:55:06] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140690022380352 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260911_d20260913_97e0e68d	Params = {'fingerprint': 'c074a884', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260913@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': 'c074a884'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260911_d20260913/2026.09.09
[22:55:06] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:55:00 140678365116096 fray.current_client current_client: using Iris backend (auto-detected)
[22:55:06] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:55:00 140678330496704 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678330496704)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_unmatched_p100_s20260911_ee6712de
[22:55:06] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:55:00 140678313711296 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678313711296)] Status checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260911_d20260912_a3b77e92: None
[22:55:06] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:55:00 140678313711296 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678313711296)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260911_d20260912_a3b77e92
