continuation_id,role,selection_tranche,fit_budget,referee_holdout,prefix_repeat_seed,data_seed,direction_id,direction_family,direction_outcome_status,sign,target_hellinger,bucket,phase_1_count,phase_1_weight,phase_1_materialized_epochs,phase_1_support_cap,total_support_cap
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_finemath_3plus,46,0.0224609375,0.8434394007153856,5.887372922596878,30.268340406672294
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_stack_edu,221,0.10791015625,1.0276752958600621,3.4355042239276807,7.852196443608214
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_wikipedia,14,0.0068359375,2.3788257246686713,63.28165425173962,256.82463494607566
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolmino_common_crawl_hq,167,0.08154296875,0.07901982813979697,1.1981875499015515,1.9817956549488722
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolmino_olmocr_pdfs_hq,170,0.0830078125,0.5147379771802868,2.0126821161510144,4.501498534852587
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolmino_stack_edu_fim,190,0.0927734375,0.8847623124504376,2.4367110001837275,8.07469738628098
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolmino_stem_heavy_crawl,10,0.0048828125,1.1957714913414665,38.67050276123716,192.14037250647107
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolmino_synth_code,66,0.0322265625,2.1816359929541047,11.203114659002141,46.40228037065072
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolmino_synth_instruction,16,0.0078125,0.5547769633654523,10.207340748685313,52.9511590435811
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolmino_synth_math,37,0.01806640625,1.0571286532880158,8.557007785450807,50.372697153797134
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolmino_synth_qa,223,0.10888671875,0.26373426908092595,1.3228675132694745,3.3385043366517264
