model,split,n,rmse,mae,bias_pred_minus_actual,actual_std,pred_std,std_ratio,spearman,pearson,slope_pred_on_actual,intercept_pred_on_actual,slope_actual_on_pred,intercept_actual_on_pred,low_tail_rmse,description,feature_count,ridge,coef_l2
paper_second_order_current_source_tau0.1,fixed340_all,37.0,0.018577305794333438,0.01501063682140949,-0.0034715100738475038,0.019612114745099423,0.01730507771608855,0.8823667381618119,0.5251303935514461,0.5171582984161407,0.45632328088676316,0.47861993376302636,0.5861035735475588,0.3690467486867662,0.01329027020856859,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau0.1,fixed340_1x,13.0,0.014605433443872015,0.012030212283450102,-0.0013571506605710459,0.013663776232598852,0.018427101339959184,1.348609712737834,0.30769230769230765,0.6250998473812115,0.8430157256092375,0.13711356739591246,0.46351427064260475,0.47384565609011714,0.010341621197639424,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau0.1,external_60m,293.0,0.053855355494954404,0.03643647858649686,-0.031162729812332014,0.04334024561371067,0.037788874121938015,0.8719118589854857,0.580696231027615,0.42041454887777274,0.36656443085656326,0.6736159776562431,0.4821755141247278,0.5911723827144132,0.05702211904587277,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau0.1,external_900m,4.0,0.046465356617740206,0.042987722488998986,-0.006391897826610898,0.01834397465097202,0.04637705687362991,2.5281901962927353,0.39999999999999997,0.2169640520440426,0.54852638932569,0.3610840058124665,0.0858179310884891,0.744644924974919,0.03004804542221029,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau0.1,seed7_train,579.0,0.04810726957648906,0.03484057026222949,3.7457262588891623e-07,0.07272246108853102,0.06053634339095812,0.8324297952081443,0.8344510256429242,0.7540169457043099,0.6276661716961097,0.39384384109663095,0.9058024472992006,0.09963898401082996,0.033656985747685275,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau0.1,seed7_holdout,61.0,0.03898929503295865,0.02807021599609913,0.01808884899024463,0.06891815131081871,0.09384297800630845,1.3616583762248575,0.9099947117927022,0.9558010785743077,1.3014745446454596,-0.27048725613664454,0.701938970348956,0.2726113676508381,0.02484596549498899,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau0.1,fixed340_holdout,27.0,0.01831408626731594,0.015168261546788268,-0.006794187982269219,0.017544144667071045,0.014981230019888771,0.8539162383907687,0.5274725274725275,0.46225097822699,0.3947236165200454,0.533937218243083,0.541330586590222,0.41343609434505585,0.01326022032230532,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau0.1,random_supplement,34.0,0.04960850180647172,0.038315885705845994,0.037848907762535036,0.049681088878676775,0.06635681588585993,1.3356554251036235,0.7533995416348358,0.886190952841564,1.183645753840581,-0.14725169560342988,0.6634877051263511,0.31406587472973047,0.04995256666616511,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau0.1,all900_holdout,4.0,0.046465356617740206,0.042987722488998986,-0.006391897826610898,0.01834397465097202,0.04637705687362991,2.5281901962927353,0.39999999999999997,0.2169640520440426,0.54852638932569,0.3610840058124665,0.0858179310884891,0.744644924974919,0.03004804542221029,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau1,all_rows,641.0,0.0472829574982216,0.03417129446307366,0.0017511124086000477,0.07844420156998826,0.069124799976707,0.8811970622842473,0.8569793070409129,0.8021406847461536,0.7068440149369853,0.3089478974394296,0.9102852461478214,0.09241765898427481,0.03302184814379864,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",30,10.0,0.05903193757470997
paper_second_order_current_source_tau1,fit_region,343.0,0.040929486297102684,0.032221797335498625,0.02997840998844909,0.053377957995540834,0.07377291464185351,1.382085741234546,0.8434740743648396,0.9542181962434113,1.318811363054567,-0.287534120262669,0.6904189572139409,0.287622151608452,0.033069067651913156,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",30,10.0,0.05903193757470997
paper_second_order_current_source_tau1,anchor_100m_1x,242.0,0.03050679901390059,0.026409543995606785,0.026169019037338235,0.018544670803931216,0.019493996656661853,1.0511913024915704,0.6705755742597187,0.6612179772711781,0.6950665867585317,0.33026611879101697,0.6290177398765942,0.35350402318517105,0.03818224799564426,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",30,10.0,0.05903193757470997
paper_second_order_current_source_tau1,fixed340_all,37.0,0.018577305829045047,0.01501063683872424,-0.003471510075876421,0.019612114745099423,0.017305077735563407,0.8823667391548131,0.5251303935514461,0.5171582969478677,0.45632328010474627,0.4786199344544309,0.5861035712239492,0.36904675074029,0.01329027023092212,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",30,10.0,0.05903193757470997
paper_second_order_current_source_tau1,fixed340_1x,13.0,0.01460543348275396,0.012030212296315606,-0.0013571506593199612,0.013663776232598852,0.018427101350544612,1.3486097135125414,0.30769230769230765,0.6250998455346299,0.8430157236031917,0.1371135691666314,0.4635142690070916,0.47384565752995056,0.01034162122245257,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",30,10.0,0.05903193757470997
paper_second_order_current_source_tau1,external_60m,293.0,0.0538553555641019,0.0364364785991949,-0.031162729815239595,0.04334024561371067,0.03778887418564027,0.8719118604553032,0.580696231027615,0.4204145474204163,0.36656443020380947,0.6736159783796085,0.48217551164045513,0.5911723854024719,0.05702211923360571,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",30,10.0,0.05903193757470997
paper_second_order_current_source_tau1,external_900m,4.0,0.046465356645382205,0.04298772248469973,-0.00639189775222998,0.01834397465097202,0.04637705690860515,2.5281901981993693,0.39999999999999997,0.21696405171846306,0.5485263889162345,0.361084006220123,0.08581793089498933,0.7446449251247981,0.030048045365655196,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",30,10.0,0.05903193757470997
paper_second_order_current_source_tau1,seed7_train,579.0,0.04810726962024008,0.03484057026965187,3.7457262633990833e-07,0.07272246108853102,0.06053634341268392,0.8324297955068939,0.8344510256429242,0.7540169452543563,0.6276661715468168,0.39384384125454913,0.9058024464335883,0.09963898492644789,0.03365698575857841,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",30,10.0,0.05903193757470997
paper_second_order_current_source_tau1,seed7_holdout,61.0,0.03898929505278809,0.028070216011774656,0.018088848989810658,0.06891815131081871,0.09384297801083258,1.3616583762905026,0.9099947117927022,0.955801078473118,1.301474544570418,-0.27048725606524743,0.7019389702408018,0.27261136775662576,0.024845965530818255,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",30,10.0,0.05903193757470997
paper_second_order_current_source_tau1,fixed340_holdout,27.0,0.01831408629759781,0.015168261560850707,-0.006794187980702711,0.017544144667071045,0.014981230038037039,0.8539162394252031,0.5274725274725275,0.46225097655093106,0.39472361556699964,0.5339372190960651,0.541330583971662,0.4134360966657402,0.013260220349606576,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=1.",30,10.0,0.05903193757470997
