run_order,run_id,row_id,prefix_state_id,prefix_candidate_id,prefix_repeat_seed,continuation_id,action_id,role,fit_budget,data_seed,trainer_seed
103,1010103,screen10__p07__control_local_sentinel_repeat,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,control_local_sentinel_repeat,local_plus_24,local_action_exposure_noise_control,False,974002,0
104,1010104,screen10__p08__local_anchor_fit079,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,local_anchor_fit079,local_anchor_fit079,validated_frontier_anchor,True,974000,0
105,1010105,screen10__p08__local_plus_37,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,local_plus_37,local_plus_37,local_interior_forward,True,974000,0
106,1010106,screen10__p08__local_minus_37,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,local_minus_37,local_minus_37,local_interior_reverse,True,974000,0
107,1010107,screen10__p08__local_plus_32,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,local_plus_32,local_plus_32,local_interior_forward,True,974000,0
108,1010108,screen10__p08__local_minus_32,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,local_minus_32,local_minus_32,local_interior_reverse,True,974000,0
109,1010109,screen10__p08__local_plus_24,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,local_plus_24,local_plus_24,local_interior_forward,True,974000,0
110,1010110,screen10__p08__local_minus_24,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,local_minus_24,local_minus_24,local_interior_reverse,True,974000,0
111,1010111,screen10__p08__local_plus_30,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,local_plus_30,local_plus_30,local_boundary_activation,True,974000,0
112,1010112,screen10__p08__local_plus_10,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,local_plus_10,local_plus_10,local_boundary_activation,True,974000,0
113,1010113,screen10__p08__local_plus_20,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,local_plus_20,local_plus_20,local_boundary_activation,True,974000,0
114,1010114,screen10__p08__control_tied,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,control_tied,control_tied,prefix_tied_control,False,974000,0
115,1010115,screen10__p08__control_anchor_repeat,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,control_anchor_repeat,local_anchor_fit079,anchor_exposure_noise_control,False,974001,0
116,1010116,screen10__p08__control_local_sentinel_repeat,shared_bounded_ensemble_kl0p05__v6e_bridge,shared_bounded_ensemble_kl0p05,0,control_local_sentinel_repeat,local_plus_24,local_action_exposure_noise_control,False,974002,0
