run_name,legacy_alias_all43_aggregate_mean_theta,legacy_alias_all43_rank,fixed_all43_aggregate_mean_theta,fixed_all43_rank,fixed_common43_aggregate_mean_theta,fixed_common43_rank,variable_common43_aggregate_mean_theta,variable_common43_rank
run_00190,-0.0970515169988604,157,-0.22119379802084405,183,-0.22119379802084405,183,-0.3181415087454203,191
run_00094,-0.10251193200733046,158,-0.09343693127349585,154,-0.09343693127349585,154,-0.10517283961211182,154
run_00228,-0.10399023129150113,159,-0.21113123146297783,181,-0.21113123146297783,181,-0.07383321072706157,147
run_00045,-0.10513543591092696,160,-0.028938376059097454,134,-0.028938376059097454,134,-0.12114319723268004,160
run_00086,-0.10811438778873504,161,-0.2001799311565776,179,-0.2001799311565776,179,-0.1540776125089083,164
run_00037,-0.110166286507021,162,-0.2631169052849038,191,-0.2631169052849038,191,-0.1850400033818712,170
run_00230,-0.11675941664541661,163,0.13300970595666586,88,0.13300970595666586,88,0.07299872670371993,113
run_00185,-0.12213540289776326,164,0.0183959411708281,120,0.0183959411708281,120,-0.051304677909692176,141
run_00092,-0.12544493251505226,165,-0.09220066255785288,150,-0.09220066255785288,150,-0.22852957805674134,180
run_00213,-0.1271285491606916,166,0.11315467312664772,90,0.11315467312664772,90,0.16778404410904965,85
run_00032,-0.12882363861700508,167,-0.3955930800913592,208,-0.3955930800913592,208,-0.36958973720488686,201
run_00066,-0.12913955983355538,168,-0.08290290977343717,148,-0.08290290977343717,148,-0.20702065089826927,175
run_00151,-0.1332299260031214,169,-0.015450262837756877,130,-0.015450262837756877,130,-0.0465771319291256,140
run_00073,-0.13387339361217357,170,0.31586051826439265,47,0.31586051826439265,47,0.2982753569643757,54
run_00232,-0.13861275131671222,171,-0.11470490138988325,157,-0.11470490138988325,157,0.025326628834955216,119
run_00042,-0.15571177591924112,172,-0.40796735295517533,213,-0.40796735295517533,213,-0.3229748872240234,193
run_00097,-0.155852191141969,173,-0.22989007671623427,186,-0.22989007671623427,186,-0.0685211032338421,144
run_00104,-0.15938783779373042,174,0.1773560046733584,76,0.1773560046733584,76,0.17064928701759005,84
run_00047,-0.16219933633777514,175,-0.0381950550343903,137,-0.0381950550343903,137,-0.16151087929792365,166
run_00051,-0.17229791803477842,176,0.11223773294799667,91,0.11223773294799667,91,0.1346328557752705,98
run_00049,-0.17335298825349674,177,-0.16927107288722334,170,-0.16927107288722334,170,-0.03832214740917078,138
run_00235,-0.17399330978725558,178,0.10441424038515686,94,0.10441424038515686,94,0.17846725366273686,79
run_00113,-0.17591878222126187,179,-0.43478609148890085,214,-0.43478609148890085,214,-0.34284973256680695,197
run_00022,-0.17647844813273547,180,-0.37872297930031446,205,-0.37872297930031446,205,-0.22406166439925987,179
run_00192,-0.17858525263159156,181,0.07983108543747046,101,0.07983108543747046,101,0.1843452684703947,76
run_00175,-0.18412377914243447,182,-0.4050958710422376,212,-0.4050958710422376,212,-0.4328554685258476,213
run_00147,-0.18478960774394718,183,0.3259834495596892,45,0.3259834495596892,45,0.2125980471960105,70
run_00215,-0.1862962725630203,184,-0.23654334923440487,188,-0.23654334923440487,188,-0.11875865123796288,158
run_00080,-0.18773980886413907,185,-0.09344193478330969,155,-0.09344193478330969,155,-0.4120899671063903,209
run_00115,-0.1889076121944541,186,-0.3926760279070048,206,-0.3926760279070048,206,-0.01900563427046853,133
run_00099,-0.1914179491597496,187,-0.5277619362460695,224,-0.5277619362460695,224,-0.6423373894779524,228
run_00048,-0.19191040994831451,188,-0.2793917936509089,195,-0.2793917936509089,195,-0.2526950081324222,181
run_00132,-0.19242650312915507,189,-0.061489497836790995,141,-0.061489497836790995,141,0.0867070501646402,109
run_00035,-0.19472110485523728,190,-0.609757402622027,229,-0.609757402622027,229,-0.6713738797854324,232
run_00184,-0.19953772389561433,191,-0.09303095254765435,152,-0.09303095254765435,152,-0.15335469485929268,163
run_00017,-0.2156648144794943,192,-0.1497079360443895,164,-0.1497079360443895,164,-0.06978816714776433,145
run_00061,-0.2220670521533528,193,-0.13132443320924833,160,-0.13132443320924833,160,-0.21773832502577806,177
run_00055,-0.22279943938683275,194,-0.5613474514856647,227,-0.5613474514856647,227,-0.7782607473975801,238
run_00229,-0.22550129059112645,195,0.2756280225522108,54,0.2756280225522108,54,0.3238100422481616,50
run_00189,-0.24461625344164253,196,0.20563717886355595,68,0.20563717886355595,68,0.22418482666685027,65
run_00077,-0.2460140914528617,197,-0.3049208403160178,198,-0.3049208403160178,198,-0.18327858610776868,169
run_00216,-0.24716824425594475,198,-0.20199842477530908,180,-0.20199842477530908,180,-0.3721412523504181,202
run_00013,-0.257220179862026,199,-0.3650365833225229,204,-0.3650365833225229,204,-0.27732986386931213,185
run_00174,-0.25937996533797536,200,-0.25371243013120387,190,-0.25371243013120387,190,-0.3810603227123564,203
run_00024,-0.27855581739017504,201,-0.2283201158765996,185,-0.2283201158765996,185,-0.1940770793983235,172
run_00199,-0.2851986823853726,202,-0.1650097102881013,169,-0.1650097102881013,169,-0.0936786375866809,151
run_00038,-0.29269996835307693,203,-0.4434916947969206,215,-0.4434916947969206,215,-0.45771063318748345,215
run_00111,-0.30644988939963597,204,-0.3217007475714128,200,-0.3217007475714128,200,-0.4062962967685573,206
run_00164,-0.30700040537373524,205,-0.2710523775978138,193,-0.2710523775978138,193,-0.6780540156530481,233
run_00053,-0.3246222525677949,206,-0.5712056472407651,228,-0.5712056472407651,228,-0.31629181975226733,190
run_00070,-0.3298543010174802,207,0.08356159183852567,99,0.08356159183852567,99,0.17683176230862926,80
run_00031,-0.33555218502711975,208,-0.3966448262609221,210,-0.3966448262609221,210,-0.5661877250752622,225
run_00058,-0.351521300000128,209,-0.18263381872360074,174,-0.18263381872360074,174,-0.25953366857721455,183
run_00148,-0.3615962743715582,210,-0.661435696262335,232,-0.661435696262335,232,-0.7057176404744973,235
run_00065,-0.3616811172803278,211,-0.7960834491810497,236,-0.7960834491810497,236,-0.8898781625957272,242
run_00140,-0.3740794709425206,212,-0.47487018158341726,220,-0.47487018158341726,220,-0.4404383081210566,214
run_00023,-0.39456366949097715,213,-0.8822900556365729,240,-0.8822900556365729,240,-0.6611787105180122,231
