run_name,kind,block,source,effective_buckets,nonzero_buckets,max_epochs,max_epochs_bucket,cc_share,synth_qa_share,stack_share,tv_to_proportional
apriori_swarm_171_ladder_B_small_pools_forward_dolma3_stack_edu_x0.25,ladder_B_small_pools_forward_dolma3_stack_edu_x0.25,ladder,new,11.018485514917321,39,1.9387680619557515,dolma3_arxiv,0.29378059896824316,0.16158069274703413,0.025655478162583664,0.3641140367486864
apriori_swarm_172_ladder_B_small_pools_forward_dolma3_stack_edu_x3,ladder_B_small_pools_forward_dolma3_stack_edu_x3,ladder,new,11.741719302681041,39,2.7526144178666905,dolma3_stack_edu,0.27806823252966456,0.15293881829120862,0.07776667345014582,0.3657730559790317
apriori_swarm_173_ladder_B_small_pools_forward_dolma3_stack_edu_x8,ladder_B_small_pools_forward_dolma3_stack_edu_x8,ladder,new,11.592841436836668,39,6.689775132292871,dolma3_stack_edu,0.25342460811755324,0.13938471050365828,0.15949902925746406,0.3918799549340567
apriori_swarm_174_ladder_B_small_pools_forward_dolmino_stack_edu_fim_x0.25,ladder_B_small_pools_forward_dolmino_stack_edu_fim_x0.25,ladder,new,11.018729326311835,39,1.938726170241585,dolma3_arxiv,0.29377425113679223,0.1615772014102785,0.025676531202918417,0.36410079059083145
apriori_swarm_175_ladder_B_small_pools_forward_dolmino_stack_edu_fim_x3,ladder_B_small_pools_forward_dolmino_stack_edu_fim_x3,ladder,new,11.74182843469884,39,2.7527645514058907,dolmino_stack_edu_fim,0.27808339897201756,0.152947159904884,0.07771637285141905,0.3657578895366787
apriori_swarm_176_ladder_B_small_pools_forward_dolmino_stack_edu_fim_x8,ladder_B_small_pools_forward_dolmino_stack_edu_fim_x8,ladder,new,11.59444214433614,39,6.690939154290511,dolmino_stack_edu_fim,0.25346870404196903,0.13940896346671797,0.1593527819472576,0.39183482948192166
apriori_swarm_177_ladder_B_small_pools_forward_dolma3_wikipedia_x0.25,ladder_B_small_pools_forward_dolma3_wikipedia_x0.25,ladder,new,11.317092019622397,39,1.9109313581212826,dolma3_arxiv,0.2895625165238984,0.15926072782826495,0.04047642769022913,0.35452682750269116
apriori_swarm_178_ladder_B_small_pools_forward_dolma3_wikipedia_x3,ladder_B_small_pools_forward_dolma3_wikipedia_x3,ladder,new,11.457437629934393,39,5.715371474441558,dolma3_wikipedia,0.2886825037740166,0.158776716732054,0.04035341531671935,0.35515878473467966
apriori_swarm_179_ladder_B_small_pools_forward_dolma3_wikipedia_x8,ladder_B_small_pools_forward_dolma3_wikipedia_x8,ladder,new,11.62895608245105,39,15.157236904464607,dolma3_wikipedia,0.2870961091140825,0.15790419230728742,0.04013166151546141,0.35674517939461364
apriori_swarm_180_ladder_B_small_pools_forward_dolmino_stem_heavy_crawl_x0.25,ladder_B_small_pools_forward_dolmino_stem_heavy_crawl_x0.25,ladder,new,11.302321652026835,39,1.9116003954461935,dolma3_wikipedia,0.289663895430381,0.159316486697288,0.040490598916625486,0.3545297358647712
apriori_swarm_181_ladder_B_small_pools_forward_dolmino_stem_heavy_crawl_x3,ladder_B_small_pools_forward_dolmino_stem_heavy_crawl_x3,ladder,new,11.48447746358856,39,5.710058464313409,dolmino_stem_heavy_crawl,0.28841414447782215,0.15862911787380235,0.04031590277615363,0.35542714403087405
apriori_swarm_182_ladder_B_small_pools_forward_dolmino_stem_heavy_crawl_x8,ladder_B_small_pools_forward_dolmino_stem_heavy_crawl_x8,ladder,new,11.696688911063879,39,15.108305157106507,dolmino_stem_heavy_crawl,0.28616928357409727,0.15739443395928077,0.04000210542719067,0.35767200493459916
apriori_swarm_183_ladder_B_small_pools_forward_dolmino_synth_math_x0.25,ladder_B_small_pools_forward_dolmino_synth_math_x0.25,ladder,new,11.188318672166968,39,1.9188233501216578,dolma3_arxiv,0.2907583863045178,0.15991846175714364,0.040643592063861644,0.3545513176120203
apriori_swarm_184_ladder_B_small_pools_forward_dolmino_synth_math_x3,ladder_B_small_pools_forward_dolmino_synth_math_x3,ladder,new,11.655349451934091,39,5.65355276353069,dolmino_synth_math,0.28556005052217875,0.15705935295352644,0.03991694392953375,0.3582812379865177
apriori_swarm_185_ladder_B_small_pools_forward_dolmino_synth_math_x8,ladder_B_small_pools_forward_dolmino_synth_math_x8,ladder,new,12.000947734588864,39,14.601498005742346,dolmino_synth_math,0.2765697528585099,0.1521146475182479,0.0386602373030492,0.3672715356501864
apriori_swarm_186_ladder_B_small_pools_forward_dolmino_synth_code_x0.25,ladder_B_small_pools_forward_dolmino_synth_code_x0.25,ladder,new,11.204989149067169,39,1.9175319234026564,dolma3_arxiv,0.2905626970302427,0.15981083174817917,0.04061623768507312,0.35454877358263875
apriori_swarm_187_ladder_B_small_pools_forward_dolmino_synth_code_x3,ladder_B_small_pools_forward_dolmino_synth_code_x3,ladder,new,11.63472557169367,39,5.663542390071712,dolmino_synth_code,0.28606462496926865,0.1573368712409476,0.03998747574893893,0.35777666353942755
apriori_swarm_188_ladder_B_small_pools_forward_dolmino_synth_code_x8,ladder_B_small_pools_forward_dolmino_synth_code_x8,ladder,new,11.981157589441487,39,14.689327073680644,dolmino_synth_code,0.2782333399510079,0.15302962813914286,0.03889278143018361,0.3656079485576884
apriori_swarm_189_ladder_C_code_math_forward_dolmino_synth_qa_x0.25,ladder_C_code_math_forward_dolmino_synth_qa_x0.25,ladder,new,14.022432249890828,39,4.96565150575319,dolma3_finemath_3plus,0.29427669499717074,0.03448725275534729,0.2103600773029336,0.3905312167463968
