dataset,mode,policy,evaluation_model,subset_size,n_records,success_rate,R²_median,R²_q25,R²_q75,regret@1_median,regret@1_q25,regret@1_q75,Huber_median,Huber_q25,Huber_q75,RMSE_median,RMSE_q25,RMSE_q75,regret@5_median,regret@5_q25,regret@5_q75,chosen_true_rank_median,chosen_true_rank_q25,chosen_true_rank_q75,Spearman_median,Spearman_q25,Spearman_q75
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,32,1,1.0,0.9906489348220631,0.9906489348220631,0.9906489348220631,0.0,0.0,0.0,0.0004987620868983079,0.0004987620868983079,0.0004987620868983079,0.031636682382586,0.031636682382586,0.031636682382586,0.0,0.0,0.0,1.0,1.0,1.0,0.9545996232652904,0.9545996232652904,0.9545996232652904
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,48,1,1.0,0.993948491574358,0.993948491574358,0.993948491574358,0.0036844611167906605,0.0036844611167906605,0.0036844611167906605,0.0003227148681671456,0.0003227148681671456,0.0003227148681671456,0.025450259418433027,0.025450259418433027,0.025450259418433027,0.0,0.0,0.0,13.0,13.0,13.0,0.9604428554953294,0.9604428554953294,0.9604428554953294
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,64,1,1.0,0.9942737060484587,0.9942737060484587,0.9942737060484587,0.0036844611167906605,0.0036844611167906605,0.0036844611167906605,0.0003036187564724935,0.0003036187564724935,0.0003036187564724935,0.02475695409943043,0.02475695409943043,0.02475695409943043,0.0,0.0,0.0,13.0,13.0,13.0,0.9604197901049476,0.9604197901049476,0.9604197901049476
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,96,1,1.0,0.9945109335054018,0.9945109335054018,0.9945109335054018,0.004686594009399414,0.004686594009399414,0.004686594009399414,0.0002882097618946108,0.0002882097618946108,0.0002882097618946108,0.024238717569886905,0.024238717569886905,0.024238717569886905,0.0,0.0,0.0,17.0,17.0,17.0,0.9638719101987467,0.9638719101987467,0.9638719101987467
two_phase_starcoder,retrospective,feature_dpp_observed,BayesLogQuad(w-e),4,1,1.0,-0.15251554210012763,-0.15251554210012763,-0.15251554210012763,0.3295058608055115,0.3295058608055115,0.3295058608055115,0.014662581442269465,0.014662581442269465,0.014662581442269465,0.3512236790006104,0.3512236790006104,0.3512236790006104,0.3161547780036926,0.3161547780036926,0.3161547780036926,87.0,87.0,87.0,0.4368123630492446,0.4368123630492446,0.4368123630492446
two_phase_starcoder,retrospective,feature_dpp_observed,BayesLogQuad(w-e),6,1,1.0,-0.12850842337547408,-0.12850842337547408,-0.12850842337547408,0.20552843809127808,0.20552843809127808,0.20552843809127808,0.014265641102770454,0.014265641102770454,0.014265641102770454,0.3475464004863229,0.3475464004863229,0.3475464004863229,0.035167813301086426,0.035167813301086426,0.035167813301086426,79.0,79.0,79.0,0.5807865298120171,0.5807865298120171,0.5807865298120171
two_phase_starcoder,retrospective,feature_dpp_observed,BayesLogQuad(w-e),8,1,1.0,-0.10350870054606509,-0.10350870054606509,-0.10350870054606509,0.20552843809127808,0.20552843809127808,0.20552843809127808,0.014111518463766343,0.014111518463766343,0.014111518463766343,0.34367526262606707,0.34367526262606707,0.34367526262606707,0.035167813301086426,0.035167813301086426,0.035167813301086426,79.0,79.0,79.0,0.5615807480874948,0.5615807480874948,0.5615807480874948
two_phase_starcoder,retrospective,feature_dpp_observed,BayesLogQuad(w-e),10,1,1.0,0.9770523158277262,0.9770523158277262,0.9770523158277262,0.0018771886825562634,0.0018771886825562634,0.0018771886825562634,0.0010957081515621347,0.0010957081515621347,0.0010957081515621347,0.04955983187430459,0.04955983187430459,0.04955983187430459,0.0008053779602050781,0.0008053779602050781,0.0008053779602050781,7.0,7.0,7.0,0.9519471033713913,0.9519471033713913,0.9519471033713913
two_phase_starcoder,retrospective,feature_dpp_observed,BayesLogQuad(w-e),12,1,1.0,0.9245526410384663,0.9245526410384663,0.9245526410384663,0.016067028045654186,0.016067028045654186,0.016067028045654186,0.0028278008962640184,0.0028278008962640184,0.0028278008962640184,0.0898633104306778,0.0898633104306778,0.0898633104306778,0.00719463825225819,0.00719463825225819,0.00719463825225819,34.0,34.0,34.0,0.8055818244723792,0.8055818244723792,0.8055818244723792
two_phase_starcoder,retrospective,feature_dpp_observed,BayesLogQuad(w-e),16,1,1.0,0.9227393472287544,0.9227393472287544,0.9227393472287544,0.05009502172470104,0.05009502172470104,0.05009502172470104,0.0031183772964799446,0.0031183772964799446,0.0031183772964799446,0.09093678143191761,0.09093678143191761,0.09093678143191761,0.02786397933959961,0.02786397933959961,0.02786397933959961,60.0,60.0,60.0,0.7938415407680777,0.7938415407680777,0.7938415407680777
