sts_prefix,bucket,owners,reasons,sources,artifact_kinds,priority_max,normalized_glob
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-512B-bs128-02c666/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1057,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-512B-bs128-02c666/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-512B-bs256-3430dd/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1058,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-512B-bs256-3430dd/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-512B-bs512-dad62f/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1059,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-512B-bs512-dad62f/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-64B-421250/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1060,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-64B-421250/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-64B-bs1024-scalebeta-ed8f71/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1061,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-64B-bs1024-scalebeta-ed8f71/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-64B-bs128-scalebeta-708529/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1062,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-64B-bs128-scalebeta-708529/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-64B-bs512-scalebeta-edfcce/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1063,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-64B-bs512-scalebeta-edfcce/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-64B-decay0.4-6b44ba/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1064,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-64B-decay0.4-6b44ba/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-bs1024-scalebeta-89e356/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1065,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-bs1024-scalebeta-89e356/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-bs128-scalebeta-3f7a0a/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1066,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-bs128-scalebeta-3f7a0a/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-bs256-scalebeta-decay-from-adam-lr2.50e-3-cc9f5c/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1067,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-bs256-scalebeta-decay-from-adam-lr2.50e-3-cc9f5c/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-bs512-scalebeta-c6a59a/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1068,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-bs512-scalebeta-c6a59a/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-adam-lr2.50e-3-456eef/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1069,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-adam-lr2.50e-3-456eef/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-adam-lr3.54e-3-3f25ef/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1070,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-adam-lr3.54e-3-3f25ef/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-adam-lr5.00e-3-27dfed/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1071,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-adam-lr5.00e-3-27dfed/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-adam-lr7.07e-3-9fabad/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1072,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-adam-lr7.07e-3-9fabad/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muon-lr2.50e-3-e6e805/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1073,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muon-lr2.50e-3-e6e805/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muon-lr3.54e-3-964d9d/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1074,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muon-lr3.54e-3-964d9d/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muon-lr5.00e-3-740188/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1075,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muon-lr5.00e-3-740188/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muon-lr7.07e-3-f2867e/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1076,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muon-lr7.07e-3-f2867e/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muonh_bs256-lr2.50e-3-efffb9/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1077,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muonh_bs256-lr2.50e-3-efffb9/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muonh_bs256-lr3.54e-3-352bae/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1078,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muonh_bs256-lr3.54e-3-352bae/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muonh_bs256-lr5.00e-3-f92db5/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1079,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muonh_bs256-lr5.00e-3-f92db5/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muonh_bs256-lr7.07e-3-ef8096/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1080,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay-from-muonh_bs256-lr7.07e-3-ef8096/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay0.4-a902f9/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1081,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-8B-decay0.4-a902f9/**
